Actual_Class,Predicted_Class,Safe_Probability,Warning_Probability,Unsafe_Probability,Conductivity,NO3,Temp,Turbidity,Level,Q,Hour_sin,Hour_cos,Month_sin,Month_cos,IsWeekend,Correct_Prediction
Warning,Warning,0.0,0.9928003544825829,0.007199645517417142,142.63,0.149,27.09,38.82,1.5924999999999998,14.955000000000004,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,1.0,1
Warning,Warning,0.0,1.0,0.0,44.09,0.288,26.46,16.38,2.197,67.16166666666666,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.0,0.9928003544825829,0.007199645517417142,138.44,0.161,26.1,46.27,1.886,22.325,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0.0,1
Warning,Warning,0.0,0.9913575469976272,0.008642453002372695,499.24,0.37,23.66,37.77,0.931,3.3861666666666665,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.49999999999999983,0.0,1
Safe,Safe,0.9947630160135189,0.0052369839864810485,0.0,1.9,0.051,28.92,2.32,1.035,4.6321666666666665,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,26164.83,0.286,27.76,173.49,8.085714285714285,-56.06999999999999,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,0.9499495323215937,0.050050467678406194,0.0,390.36,0.34,29.1,3.07,10.72,3.2080000000000006,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.0,1.0,0.0,341.2,0.241,28.52,5.37,0.691,1.0211666666666666,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,1.0,0.0,0.0,473.61,0.636,26.62,3.0,0.535,0.2275,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,1.0,1
Safe,Safe,0.9937705803877204,0.006229419612279643,0.0,504.67,0.58,23.87,4.34,0.631,0.6506666666666666,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.49999999999999983,1.0,1
Safe,Safe,1.0,0.0,0.0,446.02,0.312,19.68,2.7,0.5670000000000001,0.3455,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.0,1
Warning,Warning,0.0,1.0,0.0,38.03,0.222,25.0,15.03,4.923,325.06666666666666,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.00476301601351895,0.9952369839864811,0.0,102.99,0.174,27.11,5.81,14.785,86.89633333333332,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1.0,1
Safe,Safe,0.9923114542595899,0.0076885457404102,0.0,81.58,0.149,27.06,4.73,14.75,104.575,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,0.0,1
Unsafe,Unsafe,0.0,0.01,0.99,43461.828,0.102,28.03,108.03,8.455714285714285,-52.31166666666667,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,0.0,1
Safe,Safe,1.0,0.0,0.0,81.96,0.168,26.27,3.43,15.14,82.65966666666667,0.8660254037844387,-0.49999999999999983,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.0,1.0,0.0,39.93,0.2,24.79,8.39,3.79,198.4333333333333,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.49999999999999983,0.0,1
Safe,Safe,0.997089766173866,0.0029102338261340326,0.0,389.16,0.417,28.11,3.75,0.7190000000000001,1.3265,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,1.0,1
Unsafe,Unsafe,0.0,0.0,1.0,23498.689,0.1,22.27,86.72,7.76057142857143,45.66,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1.0,1
Safe,Safe,0.9942249068372194,0.005775093162780432,0.0,71.45,0.12,20.55,2.7,14.727142857142857,9.7,1.0,6.123233995736766e-17,-0.4999999999999998,-0.8660254037844388,0.0,1
Safe,Safe,1.0,0.0,0.0,56.13,0.13,21.81,2.59,10.69,70.52583333333334,-0.7071067811865477,0.7071067811865474,-0.4999999999999998,-0.8660254037844388,0.0,1
Warning,Warning,0.0,1.0,0.0,146.61,0.057,27.54,48.68,1.5710000000000002,14.476666666666668,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,0.0,1
Warning,Warning,0.003813270624958529,0.9961867293750415,0.0,59.28,0.249,26.55,6.8,10.0475,80.319,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.00010004411473888638,0.9998999558852611,0.0,56.25,0.242,25.23,5.85,10.16,80.1425,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.0,1.0,0.0,320.95,3.3080000000000003,26.55,25.01,1.483,12.29,0.25881904510252074,0.9659258262890683,-2.4492935982947064e-16,1.0,0.0,1
Safe,Safe,0.9958588215331099,0.004141178466890086,0.0,61.63,0.146,26.89,4.26,15.105,103.135,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,0.0,1
Warning,Warning,0.0,1.0,0.0,463.81,0.461,26.88,6.4,0.56,0.3194999999999999,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,367.12,0.504,25.47,300.36,7.209666666666667,11.93,-0.4999999999999998,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.0,1.0,0.0,141.12,0.033,27.23,35.13,1.726,18.04833333333333,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.0002524932469870348,0.9997475067530129,0.0,54.16,0.105,22.64,10.4,15.050000000000002,205.9466666666667,-0.8660254037844384,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,0.0,1
Safe,Safe,1.0,0.0,0.0,458.03,0.383,18.8,2.74,0.536,0.2318333333333333,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.0,1
Safe,Safe,0.9996678168194532,0.00033218318054676504,0.0,60.15,0.301,25.83,4.13,10.69,68.184,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.01,0.99,0.0,31.91,0.193,23.98,32.26,4.046,224.63333333333333,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,1.0,1
Safe,Safe,0.999703632190608,0.00029636780939196314,0.0,682.51,0.525,16.94,2.27,0.578,0.3933333333333333,0.8660254037844387,-0.49999999999999983,-0.4999999999999998,-0.8660254037844388,0.0,1
Warning,Warning,0.0,0.9827150939952546,0.01728490600474539,37.69,0.141,22.14,9.23,3.448,168.48333333333332,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.0,1
Safe,Safe,0.9612314855326349,0.03876851446736496,0.0,641.23,0.27,28.36,3.12,10.622857142857145,-94.59466666666668,0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,1.0,1
Unsafe,Unsafe,0.0,0.013794168532392648,0.9862058314676072,1217.51,0.079,24.4,94.05,8.073,46.86666666666667,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.49999999999999983,0.0,1
